Lineage code,Ancestor code,Start date,End date
N1-N3,NA,70.6,62
N102-T100,N99-N125,59.4,54.2
N103-N109-N115-N117-T118,N102-T100,56.2,46.4
N104-T105,N103-N109-N115-N117-T118,55.7,50.4
N106-T107,N104-T105,55.45,55.3
N110-N112-T113,N103-N109-N115-N117-T118,52.6,30.3
N119-T120,N103-N109-N115-N117-T118,50.8,42.3
N126-T127,N99-N125,56.2,38.8
N128-T129,N99-N125,56.2,50.9
N13-T14,N5-N6-N8-T9,55.88,43.8
N130-N131-N136-N142-N144-T148,N128-T129,54.6,40.3
N133-T135,N130-N131-N136-N142-N144-T148,47.25,40.5
N137-N139-T143,N130-N131-N136-N142-N144-T148,45,38
N145-T146,N130-N131-N136-N142-N144-T148,41.7,40.3
N149-N163,N126-T127,39,34.4
N15-N17,N13-T14,48.7,37.3
N150-N151-T153,N149-N163,37.2,21.5
N152-T154,N150-N151-T153,22,11.9
N23-N156-N157-N160-T161,N150-N151-T153,32.9,1.7
N165,N149-N163,34.4,32.7
N166-T167,N165,32.7,25.5
N168,N166-T167,32.1,25.5
N171,N165,32.7,32.5
N172,N171,32.5,29.5
N175,N171,32.5,27.3
N177,N175,27.3,27.2
N179-T180,N175,27.3,11.2
N18-T19,N15-N17,37.3,33.8
N182-T183,N256-N2-N198-T67,64.9,59.7
N184-N186-N187-N188-T189,N182-T183,62.3,40.5
N190-N199-T200,N184-N186-N187-N188-T189,55.2,33.7
N191-T192,N184-N186-N187-N188-T189,54.5,33.7
N193-N195-T197,N191-T192,46.15,15.1
N201-N998-N295-N203,N190-N199-T200,44.5,13.8
N206-N210-N212-T213,N190-N199-T200,53.5,17.3
N207-T208,N206-N210-N212-T213,43.4,33.7
N21-T24,N15-N17,37.3,32.9
N215-N217-N231-N235-T236,N184-N186-N187-N188-T189,55.5,45.4
N218-T219,N215-N217-N231-N235-T236,49.25,44
N220-N221-T362,N218-T219,48.1,34
N223-N225-N227-T228,N220-N221-T362,44.6,33.7
N232-T233,N215-N217-N231-N235-T236,47.55,37.3
N237-T238,N215-N217-N231-N235-T236,46.4,42.3
N239-N240-N244-N246-T247,N237-T238,43.95,35.5
N241-T242,N239-N240-N244-N246-T247,43.85,36
N248-T249,N239-N240-N244-N246-T247,43,34.3
N25,N23-N156-N157-N160-T161,18.8,18.3
N251-T252,N239-N240-N244-N246-T247,43.9,39.8
N253-T254,N251-T252,43.75,40
N256-N2-N198-T67,N1-N3,69.2,64.85
